Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
Hallertau Perle,Germany,Both,Pellet,6.5,3.5,30,Boil,"A dual-purpose hop that offers great bittering properties as well as a well-rounded aroma profile. Aroma: Herbal - tea, pepper, floral, citrus, earthy, woody, grassy, caramel Alpha Acid: 4.0 - 9.0% Beta Acid: 2.5 - 4.5% Total Oil: 0.5 - 1.3 ml/100g"
Hallertau Taurus,Germany,Both,Pellet,14.8,5,35,Boil,"Bred at the Huell Hops Institute in Germany and prided in its bittering qualities. The bittering is moderately abundant and this variety adds a pleasant aroma as well. Used for: Schwawrz, Oktoberfest, Lager Aroma: seasoned, flavorful, zesty character Substitutions: Hallertau Magnum, German Tradition Storage: Fair/Good (60%-70% AA after 6 months at 20 C) 12.3-17.9% AA / 4-6% Beta"
Hallertauer,Germany,Aroma,Pellet,4.8,4,50,Boil,"Used for: German Ales, German/US/Canadian Lagers, Wheat Beers Aroma: Pleasant, mild spicy flavor, clean, neutral flavor Substitutes: Crystal, Liberty, Hallertauer Mittelfrueh"
Hallertauer Hersbrucker,Germany,Aroma,Pellet,4,6,25,Boil,"Used for: German style lagers and wheat beers Aroma: Noble, pleasant, clean flavor Substitutes: Mt. Hood, Liberty, Hallertauer, Mittelfrueh Examples: Wheathook Wheaten Ale"
Hallertauer Mittelfrueh,Germany,Aroma,Pellet,4,4.6,45,Boil,"Used for: Continental Lagers, German Ales/Lagers, US Lagers Aroma: Pleasant, assertive, mild herbal aroma Substitutes: Hallertauer, Mt. Hood, Liberty, Crystal Examples: Sam Adams Boston Lager, Sam Adams Boston Lightship"
Hallertauer Taurus,Germany,Both,Pellet,14.8,5,30,Boil,"German born Hallertau Taurus features an earthy, strong aroma with hints of chocolate and banana, spice and pepper and finishes with a zesty curry undertone. It was released in 1995. Interestingly, it carries the highest xanthohumol content of any hop. Xanthohumol is a potent antioxidant, 200 times more powerful than antioxidants found in red wine. Used in Paulaner’s hop selection for their Oktoberfest bier."
"Hallertauer, New Zealand",New Zealand,Both,Pellet,8.5,3,45,Boil,Hallertauer variant with classic aroma and ability to retain clean taste. Bred from German Hallertauer Mittelfrueh Used for: Australian Ales Substitutes: Hallertauer Mittelfrueh
Harlequin,United Kingdom,Aroma,Pellet,10.5,8,30,Boil,"Harlequin® is a newer hop variety to be released by the Britain-based Charles Faram Hop Development Programme. Harlequin® is an intense hop that boasts big fruit flavors such as passion fruit, peach, and pineapple. Harlequin® is the daughter of another one of Charles Faram's varieties called Godiva® and not only has an incredible aroma and big brewing potential, but was also selected for its disease resistance and good yield. The breeder considers Harlequin® to be a dual-purpose hop, but it seems to excel especially in late hop additions, whirlpooling, and dry hopping. Because Harlequin is such a new variety we are looking to see what you think of it. So be sure to let us know what you brew up with it and how it turns out! Harlequin Hop Profile Aroma: Passion fruit, Peach, Pineapple Pedigree: Daughter of Godiva® that was selected for its aroma, disease resistance, and yield. So it has a lot going for it. Cohumulone: 27 - 31 % of alpha acids Total Oil: 1.0 - 1.8 ml/100g Myrcene: 55 - 65 % of total oil Humulene: 0 - 10 % of total oil Farnesene: 5 - 15 % of total oil Flavor Intensity: 9/10"
Harmonie,Czech Republic,Aroma,Pellet,6,6,30,Boil,Harmonie - is characteristic by a high share of beta fraction but oppose to Sládek it has higher content of alpha bitter acids. The variety was registered in 2004 and therefore the acreage is currently very limited. The first brewing trials and testing in Czech breweries showed at very good quality especially for intensity and quality of beer aroma.
Hartwick,U.S.,Aroma,Pellet,12,5.7,30,Boil,"Hartwick hops, trademarked by Great Lakes Hops, are an aroma variety cultivated in the United States of America. Originating as a ""field grade"" hop by Great Lake Hops, Hartwick is still in its developmental stages and is not yet ready for widespread commercialization. This is primarily due to pest-related issues that the plant faces. When it comes to its flavor and aroma profile, Hartwick hops are distinctively piney with notes of overripe pineapple. Great Lakes Hops (GLH) emphasizes that the aroma of Hartwick is notably different from their other field grade hops. Typically, Hartwick hops are used in the late boil additions of the brewing process, including dry hopping, to impart its unique aroma to the beer. Flavor/Aroma: Pine, Pineapple"
Helga,Australia,Aroma,Pellet,6.25,6,30,Boil,"Helga is an Australian cultivar, formerly known as Southern Hallertau. Helga was bred by Hop Products Australia from Hallertau Mittelfrüher in an effort to dissect and retain its Hallertau’s characteristic noble aroma. Helga is easy to work with—no matter at what point she is added into the brew, even when dry hopping, the results are said to be ever pleasant. It is mildly floral and spicy. Helga made a quiet debut, established in 1996 it took nearly 10 years to catch on commercially. Currently, production is being increased as craft brewers take interest."
Helga (Southern Hallertau),Australia,Bittering,Pellet,5.5,4.4,15,Boil,Perviously known as Southern Hallertau. Bears almost no aroma similarities to it's European cousin. Very unique aroma with moderate bittering. Used for: Austrialian and English-style ales. Aroma: Ddelicate floral and subtle herbal aroma Substitutes: Unknown (possible Nobel Hop variety) Storage: Unknown 5-6% AA / 3.8-5.4% Beta
Helios,U.S.,Both,Pellet,5,2,30,Boil,"Super high alpha variety with clean, pleasant bitterness. Aroma: Resinous - Stone fruit, pine, spicy Alpha Acid: 15.5 - 18.5% Beta Acid: 3.5 - 4.5% Total Oil: 1.0 - 2.0 ml/100g"
Herald,United Kingdom,Bittering,Pellet,12,5.2,25,Boil,"Dwarf variety bred at Wye College (mid 1990s) Used for: Bittering of ales Aroma: Strong, acceptable Substitutes: High alpha English bittering hops"
Herkules,Germany,Bittering,Pellet,14.5,2,25,Boil,"A German high alpha cross variety, bred in Huell and released in 2005. Imparts robust, hoppy tang flavors. Used for: hoppy German-style ales or lagers Aroma: Spicy floral and hop notes, with hints of pine, lemon and black pepper. Substitutions: Unknown Storage: Good 13-17% AA / 4-5.5% Beta"
Hersbrucker,Germany,Aroma,Pellet,2.75,2,60,Boil,"Hersbrucker Hops is similar to the noble hop varieties with its low co-humulone level. Aroma: Classicly spicy, herbal, with hints of citrus and stone fruit. Used for: German and Bavarian style Lagers, Pilsners, Hefeweizens, Dunkles, and Bocks Substitutions: Mt. Hood, Strisselspalt, Hallertau Mittelfruh, Liberty Storage: Fair (55%-65% AA after 6 months at 20 C) 2-5% AA / 4-6% Beta"
"Hersbrucker E, England",United Kingdom,Bittering,Pellet,5,6,30,Boil,"Hersbrucker E (for England) was planted and grown at Wye College, England in the 1970’s. It is largely identical to the original Hersbrucker variety grown in the Hersbruck Mountains. The storage stability, especially of its soft resins, is low."
Hokitika,New Zealand,Bittering,Pellet,5.3,2,30,Boil,"Hokitika® is of European origin but was first grown in New Zealand in 1882. The hop originated from a hop garden that was started in the 1880's by the brewery principal, WCJ Kortegast, at Kortegast's Brewery at Gibson Quay, on the Hokitika River. Those gardens had been growing wildly for 136 years. Flavor/Aroma: Floral, Honey, Nectar, Spicy"
HopShot,US,Both,CO2Extract,65,2,100,Boil,CO2-extracted hop resin that can be used for bittering or late additions to boiling wort. Primarily for use in boil. Made from Columbus (or CTZ) blend hops. http://www.northernbrewer.com/documentation/hopshot.pdf
HopShot,US,Both,CO2Extract,65,2,100,Boil,CO2-extracted hop resin that can be used for bittering or late additions to boiling wort. Primarily for use in boil. Made from Columbus (or CTZ) blend hops. http://www.northernbrewer.com/documentation/hopshot.pdf
Horizon,U.S.,Bittering,Pellet,12,7.5,30,Boil,"Good dual purpose hops derived from Nugget hops in Oregon (1970) Used for: All purpose Ales, Lagers Aroma: Pleasant, hoppy Substitutes: Magnum or other high alpha hops"
Huell Melon,Germany,Aroma,Pellet,7.2,7.5,15,Boil,Distinct fruit characteristics including honeydew melon and strawberry flavors. An excellent consideration for varieties not necessarily associated with typical hop flavors. Substitutions: N/A Storage Unkonwn
Hulla Norrgård,Sweden,Both,Pellet,7.8,5.5,30,Boil,"Hulla Norrgård is a very old Swedish hop, the earliest map showing where it's grown is from 1634. Flavor/Aroma: Citrus, Clove, Herbal, Spicy"
Hydra,U.S.,Aroma,Pellet,12,7,30,Boil,"Hydra™ Originally nicknamed ""Befuddlement"" for it's unique yet unidentifiable characteristics has emerged with an incredible ability to amplify and juice up a brew. Hydra can not only accentuate other hops characteristics but can easily shine solo. Aroma: Bright Citrus, Tangerine, Mandarin, Clementine, Green Grape, Orange Rind​ Licensed by Great Lakes Hops"
Ibuki,Japan,Aroma,Pellet,7.5,3,30,Boil,"Ibuki hops are an intriguing variety that originated from the Iwate and Miyagi regions in Japan. As an improved version of the Shinshuwase hops, Ibuki was developed through a crossbreeding process that combined the noble characteristics of the German Saaz hops with the robust qualities of the American White Vine. The flavor profile of Ibuki hops is primarily floral, with a pure and pronounced aroma that can influence the beer's bouquet even when used sparingly. This makes Ibuki hops particularly suitable for styles where a delicate yet noticeable hop character is desired. Whether used in traditional Japanese styles or integrated into more familiar Western brews, these hops bring a touch of Japanese terroir to the brewing process, allowing brewers to experiment with geographical nuances in their beer crafting. Flavor/Aroma: Citrus, Earthy, Floral, Fresh, Herbal, Noble"
Idaho #7,U.S.,Both,Pellet,13,2,15,Boil,"Notes: Dual purpose, high alpha acid Aroma: Tropical fruit, orange, apricot, pine."
Idaho #7 Hop Hash,US,Aroma,Pellet,31.4,8.5,15,Boil,"Technically this is lupulin powder similar to Cryo-hops. It is intended for use primarily in the whirlpool, hot steep or for dry hopping. Idaho #7 has a black tea charcter and fresh herbal aroma."
Independence,U.S.,Aroma,Pellet,4.7,1.5,30,Boil,"Independence Hops are a proprietary blend created by Yakima Chief Hops. This blend originates from the merging of old-world and new-world hop varieties, reflecting the pioneering spirit of generations of growers in the Pacific Northwest. Harvested in mid-to-late August, Independence is primarily used as an aroma hop in late boil additions and dry hopping. The flavor and aroma profile of the Independence hop blend combines bold, earthy notes such as tobacco, pine, and grass with more delicate touches of citrus, herbs, and stone fruit. Its versatile profile offers floral and herbal undertones, making it perfect for adding depth and character to various beer styles. Independence hop blend can be used in a variety of beer styles, such as American Pale Ales, IPAs, and Amber Ales. This hop’s robust flavor also pairs well with more experimental brews like Saisons and New England IPAs. Additionally, its versatile nature makes it suitable for enhancing malt-forward styles, such as Brown Ales and Stouts. Flavor/Aroma: Citrus, Floral, Earthy, Herbal, Pine, Stone Fruit, Tobacco"
Iunga,Poland,Aroma,Pellet,9.6,3.1,30,Boil,"Unleash the potential of your brews with Iunga, a versatile dual-purpose hop that effortlessly marries bold bitterness with an intoxicating aroma. Bred through the artful union of Lubelski and a Yugoslavian male, Iunga stands as a testament to the harmonious fusion of heritage and innovation. Flavor Profile: Iunga captivates the palate with a swift burst of short-lived bitterness, courtesy of its robust alpha-acid content. What truly sets it apart is the exquisite aroma it imparts – a tantalizing symphony of pineapple, peach, and citrusy notes that dance on the taste buds. Aroma: Immerse your brew in the tropical allure of Iunga, where strong hints of pineapple transport you to sun-drenched islands, complemented by the succulence of peach and the zesty brightness of citrus. This hop is a sensory journey, promising a multi-dimensional flavor experience."
Ivanhoe,US,Aroma,Pellet,7.8,4.6,15,Boil,"A revival of the old California Cluster variety. It has a European aroma that is more moderate than Cascade and has citrus, piney and heady floral and herbal notes. Substitute: Cascade or Cluster"
Izabella,Poland,Aroma,Pellet,5.2,2.3,30,Boil,"Meet Izabella, a hidden gem from the hop archives, developed in 1988 alongside Marynka during an era when high-alpha varieties were the sought-after stars. Unfortunately, Izabella’s journey was short-lived, as its bittering potential didn’t meet the demands of the big players. Farming ceased, and it was even removed from the Polish variety catalogue. Rediscovering Izabella revealed its citrusy and fresh aroma, a testament to the resilience of forgotten treasures. Flavor: Izabella, despite its brief stint in the limelight, leaves an indelible mark with its distinct flavor profile. The citrusy and fresh aromas, hidden for years, now emerge as a tribute to a bygone era. Izabella showcases the potential of overlooked varieties, reminding us that every hop has its own story to tell. Aroma: Embark on a sensory journey with Izabella, where the essence of lime and citrus takes center stage. The aroma is a testament to the resilience of this nearly forgotten variety, offering a refreshing and invigorating experience. Izabella’s reemergence highlights the untapped potential that lies within the rich tapestry of hop history."
Jarrylo,U.S.,Both,Pellet,16,2,15,Boil,"Notes: Underwhelming hop. Good if used in combination of hops with stronger flavors like Amarillo. Aroma: Banana, pear, spice."
Jester,UK,Aroma,Pellet,8,5,15,Boil,"Developed by Charles Faram & Co, a proprietary hop different than most UK hops. Aromatic notes of tropical fruit, grapefruit, blackcurrent and Lychee. A late addition or dry hop, but not recommended for bittering in the boil. Closer to a New World hop style."
Junga,Poland,Both,Pellet,11.5,6.5,15,Boil,"A high alpha bittering hop from Poland similar in some ways to German Magnum but with a nuce aroma. Derived from a Saaz variety. Substitute: Nugget, German Magnum or Target"
Kazbek,Czech Republic,Aroma,Pellet,6.5,5,15,Boil,"From the Czech Republic, released in 2008. The classic noble spice of saaz, but with a earthy lemon peel tone. Primarily an aroma hop for whirlpool or dry hopping. Noble hop character but high oil content. Similar to a very strong Saaz with notes of citrus and grapefruit. Substitute: Saaz"
Kirin II,Japan,Both,Pellet,8,6.4,15,Boil,"A Japenese hop that grew from Japan's decision to reduce hop imports. Grown domestically in Japan under government contract. Developed by Kirin Brewery, it is a direct descendant of Saaz and White Vine."
Klon 18,Ukraine,Aroma,Pellet,3,3,30,Boil,"Klon-18 hops, originating from Ukraine, have a rich history deeply rooted in the brewing traditions of Eastern Europe. With its introduction in 1936, Klon-18 quickly became a staple in the brewing industry, prized for its versatile nature and consistent quality. The hop's cultivation in regions historically part of Poland contributes to its resemblance to Lublin hops. Homebrewers favor Klon-18 for its dual-purpose characteristics, making it suitable for both bittering and aroma purposes. When utilized in brewing, Klon-18 imparts a delightful array of flavors, including a pleasant fruity essence accompanied by grassy and floral undertones. These flavor profiles make it particularly well-suited for brewing lagers, where its subtle yet distinctive notes complement the crispness of the style. Whether used as a primary hop or in combination with others, Klon-18 adds complexity and depth to a variety of beer recipes, enhancing the overall drinking experience. Flavor/Aroma: Crisp, Floral, Fruity, Grassy, Pleasant"
Kohatu,New Zealand,Aroma,Pellet,6.5,5.5,30,Boil,"Moderate aroma with lime and pineapple with traces of pine. Overuse can exhibit ""dank"" character. Used for: Belgian Ales, Wheat Beer, Blonde Ale Substitutions: N/A"
Korsta,Sweden,Both,Pellet,8,2,30,Boil,"The Korsta hop traces its origins to the village of ""Korsta"", located near Sundsvall. In this village, the hop was discovered growing adjacent to a site that was marked as a hop farm on a parcel map dating back to 1769. This discovery not only highlights the hop's longevity in the region but also its enduring connection to the brewing traditions of the area. It suggests a lineage that might even predate the Vikings. Historically, hops were not just limited to beer brewing, but was also a favored ingredient in mead and braggot, two beverages that have been enjoyed for centuries. The aroma of the Korsta hop is a delightful blend of spicy and citrusy notes. The grapefruit scent is particularly dominant, complemented by hints of tropical fruits and the fresh scent of green grass. For the homebrewer looking to experiment with a hop that carries with it a tale as old as time, Korsta is an excellent choice. Flavor/Aroma: Citrus, Earthy, Grapefruit, Grassy, Herbal, Spicy, Tropical Fruit, Zesty"
Kracanup,Australia,Aroma,Pellet,8.4,2,30,Boil,"The Kracanup hop is an exciting new addition to the world of brewing, originating from Western Australia. This hop is the brainchild of a semi-retired couple, Colin and Britt Butler, who ventured into hop farming with little prior knowledge about hops. Kracanup is a hybrid hop variety, resulting from a cross between the renowned Cascade and Chinook hops, both of which have their roots in the US and have significantly influenced the West Coast American Pale Ale style. This hop has garnered attention from several West Coast beer enthusiasts. Flavor/Aroma: Fruity"
Książęcy,Poland,Aroma,Pellet,6.2,2.8,30,Boil,"A sensational ressurected hop from PolishHops that is making waves in the brewing world. A newcomer that brings a burst of freshness to the scene, Książęcy boasts an intense coconut aroma, complemented by notes of red orange and apricot. Książęcy, a herald of the new wave hops, brings a refreshing and fruity aroma that can elevate your beer at every hopping stage. With an alpha acid content of 6.20%, this hop introduces a delightful interplay of coconut, red orange, apricot, pineapple, mango, and tangerine, creating a sensory experience that transcends traditional boundaries. Aroma: Immerse yourself in the captivating aroma of Książęcy, where the essence of coconut takes center stage, accompanied by the vibrant notes of red orange, apricot, pineapple, mango, and tangerine. This hop is a symphony of tropical and citrusy delights, adding a layer of complexity to your brew."
Lambic,U.S.,Aroma,Pellet,1.5,3.4,30,Boil,"A triploid hybrid of the English Fuggle released in 1976 from the USDA breeding program. Lambic is an aroma hop that is typically used in only late boil additions, including dry hopping"
Legacy,US,Bittering,Pellet,8.1,4,15,Boil,"Legacy has been cultivated in Washington state for over 50 years, but was registered and named in 2013. It has some wild notes of blackberry, black currant, orange, grapefruit and florap and spicy notes."
Lemondrop,U.S.,Aroma,Pellet,6,2,15,Boil,"Notes: Good for citrusy IPA, APA, IPL, or Saisons. Should be used with a hop with more distinct flavor that would benefit from the lemon flavor. Aroma: Lemony, floral, earthy, herbal, grassy, pine, pepper"
Liberty,U.S.,Aroma,Pellet,4.3,3.5,50,Boil,"Used for: German style lagers Aroma: Fine, mild, slightly spicy flavor Substitutes: Hallertau, Mt Hood, Crystal Examples: Pete's Wicked Lager"
"Liberty, New Zealand",New Zealand,Both,Pellet,5.9,4.7,35,Boil,"Mild and spicy, subtle lemon and citrus. Used in many styles. Contributes good bitterness in the beginning of the boil and an aroma of grapes, peaches, and vanilla at the end of the boil. Derived from Hallertau Mittlefruh."
Limonadier,Canada,Bittering,Pellet,9,4.1,30,Boil,"Limonadier hops are a testament to the innovative spirit of the craft brewing movement, particularly emerging from the fertile grounds of Quebec. Originating from the Double LL farm in St-Édouard-de-Lotbinière, these hops are a proud product of Canadian agriculture, boasting a lineage that includes the popular Cascade variety. As a dual-purpose hop, Limonadier is versatile in the brewing process, suitable for both bittering and aroma additions in a variety of beer styles such as Pale Ale, IPA, Saison, and Trappist. The flavor profile of Limonadier is distinctively citrus-forward, with a pronounced lemon character that inspired its name. This lemon essence is complemented by notes of grapefruit, adding a zesty complexity to the hop's profile. Beyond the citrus realm, Limonadier surprises with a peculiar blend of very ripe mango and resinous pine, creating a ""fruit bomb"" sensation that can elevate the sensory experience of any brew. Flavor/Aroma: Citrus, Fruity, Grapefruit, Lemon, Mango, Pine, Zesty"
Loral,US,Aroma,Pellet,11.5,5,15,Boil,"Released in 2016, Loral HBC 291 has a noble heritage and crosses old world and new world aromatics. Pleasant aroma including floral, pepper, lemon citrus and dark fruit notes. Suitable for many beer styles."
Lubelska,Czech Republic,Aroma,Pellet,4,3.25,25,Boil,"Lubelska has heritage from Saaz which come through in the fine aroma characteristics. Despite being mostly used by Polish breweries, this hop originated in Zatec, Czechoslovakia. It is now widely used in Poland."
Lubelska-Pulawy,Poland,Aroma,Pellet,6,4,30,Boil,"First entering commercial production in 1964, Lubelska-Pulawy is a Polish-grown variety descended from the original Czech hop Lubelska, or Lublin as it is sometimes known. It was grown by the Hop Institute in Pulawy, Poland in an effort to better mold the variety to local conditions and increase alpha potential. It is said to have pleasant European characteristics, unsurprising given its Saaz roots."
Lubelski,Poland,Aroma,Pellet,4,4.5,30,Boil,"Lubelski hops are among the super-aromatic varieties: alpha-acids about 5.0% . This extremely aromatic hop is used in brewing bottom and top fermentation beers as well as for hopping during silent fermentation. Very well known among Belgian brewers. It is widely believed to belong to the Saaz family. However, there is a legend circulating that says it is a wild hop adapted to mass cultivation. Thanks to its unusual aroma, it is the second most popular hop in Poland and has been cultivated since 1964. It has herbal aromas complemented by notes of cinnamon, bergamot and lemon. Mainly used in bottom fermentation beers."
Lublin,Poland,Bittering,Pellet,5,3,40,Boil,"Version of Saaz grown in Poland - also called ""Lubelski"" Used for: Bohemian lagers and Pilsners Aroma: Noble, mild flavor similar to Saaz Substitutes: Saaz, Tettnanger"
Lublin (Lubelski),Poland,Aroma,Pellet,4,3,72.5,Boil,"Lublin, also called ""Lubelski"", was bred from Saaz and carries with it many of the same characteristics. Used for: Bohemian lagers and Pilsners Aroma: Noble, mild flavor similar to Saaz Substitutes: Saaz, Tettnanger, Sterling Storage: Good (70%-75% AA after 6 months at 20 C) 3-5% AA / 2.5-4% Beta"
Luminosa,U.S.,Both,Pellet,10.5,4.5,30,Boil,"Luminosa hops are a testament to the innovative spirit of the craft brewing world, particularly the Indie Hops Flavor Project, which has brought this vibrant variety to the forefront with its 2022 Harvest debut. The brainchild of Shaun Townsend from Oregon State University's hop breeding program, Luminosa hops were born from open-pollinated seeds of a Sorachi Ace female in 2013. It delivers a burst of tropical and citrus notes, reminiscent of a refreshing peach-mango lemonade, enriched with layers of candied orange peel, boysenberry, papaya, and guava. Luminosa hops offer an exciting opportunity to experiment with flavor without the risk of overpowering their brew with the piney and resinous notes that can dominate the palate. This makes it an excellent choice for a wide range of beer styles, from the crispness of a Helles or Pilsner to the depth of an American Pale Ale, the haze of an IPA, or the lightness of a Blonde or Wheat Ale. Aroma: Citrus, Fruity, Guava, Mango, Orange, Papaya, Peach, Tropical"
Lórien,U.S.,Aroma,Pellet,4,4,30,Boil,"Lórien hops, a new addition to the hop family, have been developed with a specific vision in mind: to complement and enhance the crisp, refreshing qualities of lager beers. As the third commercial hop launch from Indie Hops, Lórien is a progeny of a Sterling female and a German male hop, embodying a blend of Old World and New World hop characteristics. The flavor profile of Lórien hops is distinct and multifaceted, offering a bouquet of lemon and lime zest, fresh melon, sweet hay, and wildflowers, with a unique finish of cinnamon spice that acts as a palate cleanser. The hop's ability to let the malt shine through while still providing a complex finish makes it a versatile ingredient for various beer styles, though it shines brightest in lagers, light beer styles, and ales. It pairs well with classic lager hops like Hallertauer, Hersbrucker, and Czech Saaz, it can be used to enrich the flavor profile without overpowering the essential ""beer"" flavor that comes from the malt and clean fermentation. Flavor/Aroma: Cinnamon, Floral, Hay, Lemon, Lime, Melon"
Mackinac,U.S.,Aroma,Pellet,11.1,3.4,30,Boil,"Mackinac™ executes wide utility and flavorful new beer styles that are trending toward these aromas. The moderately low Cohumulone offers brewers a smoother brewing profile with excellent foam characteristics. It has good resistance to disease and insect pressure and is above average in vigor and yield for this class of hops. This hop was rated in the top 10% by both the brewer's trials and grower trials for new varieties in 2013. Licensed by Great Lakes Hops. Aroma: BIG Tropical, Citrus, Melon, Papaya, Spice​"
Magnum,U.S.,Bittering,Pellet,12,5.25,15,Boil,"High-alpha hop with clean, neutral bitterness. Can be used in almost any recipe. Used for: Ale, Lager, Stout, hefeweizen, IPA, Bitter Aroma: No distinctive aroma characteristics Substitutions: German Magnum, CTZ, Nugget Storage: Excellent/Very good (80%-85% AA after 6 months at 20 C) 10-14% AA / 4.5-7% Beta"
Malling,,Both,Pellet,6.6,4,30,Boil,"The British Malling Mid-season hop variety is not grown commercially in UK where it was bred. however, it is one of Austria’s more popular hop varieties where it is simply known as Malling . It is a bittering hop but also popular for it’s mainly fruity aromas with soft mint and peppery notes added in. Flavor/Aroma: Apricot, Citrus, Melon, Pear, Pepper"
Mandarina Bavaria,Germany,Both,Pellet,8.5,6,0,Boil,"One of four new varieties released to German growers in 2012. Shares characteristics of its mother, Cascade, but fruitier and more herbal. Used for: American pale ale, lager (as late hop) Aroma: Distinct tangerine and citrus flavors Substitutions: Unknown Storage: Unknown 7-10% AA / 4-7% Beta"
Mapuche,Argentina,Aroma,Pellet,6.5,5.6,30,Boil,"Grown in the Upper Black River Valley (39th parallel) in Argentina, Flavor/Aroma: Grapefruit, Blueberry, Red Fruit, Peach, Apricot"
Marynka,Poland,Both,Pellet,11.5,11.4,15,Boil,"A widely produced Polish hop from the Lublin area. Offspring of Brewer's Gold registered in 1988. Excellent flavor profile. Used primarily for bittering though it also features earthy, herbal flavors and aromas."
Mathon White,UK,Aroma,Pellet,5.1,2,15,Boil,A very old varitety which may have been bred from Farnham Whitebine or Caturbury Whitebine like Goldings was. A pleasant aroma similar to Goldings. Goes well in most any English style. Substitute: Kent Goldings or Bramling
McKenzie,U.S.,Aroma,Pellet,10,8.5,30,Boil,"McKenzie™ hops are the first variety to be released by the West Coast Hop Breeding Company out of Oregon. McKenzie™ was specifically bred to be grown in Oregon and highlight the area's terroir. McKenzie™ is ""bright and fruity"" with grapefruit, lemon, nectarine, and melon aromas that is backed by pine, resin, and wood. Fits really well in the classic West Coast IPA or American Pale Ale, but also plays well in fruit-forward and Hazy IPAs. McKenzie™ Aroma: Grapefruit, lemon, nectarine, melon, pine resin, thyme. McKenzie™ Typical Analytical Range Alpha: 9-11% Beta: 8-9% Total Oil: 2.0-3.0 mL/100g 2021 is the first crop year for McKenzie™ hops."
Medusa,US,Aroma,Pellet,4.8,5.8,15,Boil,"A native hop of Colorado and New Mexico that is literally an entirely different species - humulus lupulus neomexicanus from most hops. Strong flavor and aroma character of guava, melon, apricot, and citrus fruit. Excellent in IPAs as whirlpool or dry hop addition."
Melba,Australia,Both,Pellet,8.5,4,15,Boil,"Called the ""Dame of Hops"", Melba is a dual purpose hop from Australia's Ellerslie Hop Estate. It has a high oil content and moderate alpha acid making it suitable for late and dry hop additions. Adds a spicy bitterness. Aromatics of passion fruit, grapefruit, and citrus. Comparable to Galaxy."
Meridian,US,Aroma,Pellet,6.3,7,15,Boil,"Grown primarily in Willamette Valley - a unique variety with crisp flavors of lemon, mixed berry and tropical fruit. Complements many other hop flavors very well. Some notes of nectarine, apricots, with some pine. Use in: Belgians, IPAs, Blondes. Substitute: Citra, Glacier, Centennial"
Merkur (Hallertauer Merkur),Germany,Bittering,Pellet,14,5.1,35,Boil,"Sometimes called Hallertauer Merkur, this variety was bred from a cross between Hallertaur Magnum and variety 81/8/13 from the Hull Hops Research Institute. Mostly used for bittering qualities, appropriate for early to mid additions. Aroma: Strong earthy, floral and citrus impressions Substitutions: Maganum (U.S.), Hallertau Magnum Storage: Fair/Good (60%-70% AA after 6 months at 20 C) 12-16.2% AA / 5.1% Beta"
Michigan Copper,U.S.,Aroma,Pellet,11,3,30,Boil,"Michigan Copper™ was among the first new cultivar to be released from the GLH trials and breeding program in 2014. It has gained traction and praise across the United States since and has only increased in demand. Aroma: Fruit Punch, Tropical, Pepper, Cherry, Floral Licensed by the Great Lakes Hops program."
Millenium,U.S.,Bittering,Pellet,14.25,5.7,25,Boil,"Originally developed as part of the Haas breeding program in the US, Millenium entered production in 2000. It is a very high alpha hops used for bittering. Aroma: Mild, herbal Substitutes: Columbus, Tomahawk, Zeus and Nugget"
Minstrel,United Kingdom,Aroma,Pellet,6,3.25,30,Boil,"Minstrel® is a low trellis wilt resistant variety from the Charles Faram Hop Development Programme and is tolerant to powdery mildew. High Farnasene gives beers brewed with Minstrel® great fullness of flavour and depth. Character: Spicy, berries, orange citrus."
Mistral,France,Aroma,Pellet,7.5,3.4,30,Boil,"Mistral is a new and exciting hop variety developed in the legendary growing region of Alsace, France. Mistral offers a refreshing character of citrus fruits, floral, and sweet fruits. Alpha acid 6.5-8.5 % Cohumulone29-39 % Beta acids3.1-3.8 % Coluplone51-54 % Total Oil1-1.5 ml/100g Myrcene59-65 % Humulene9.5-12.8 % Monoterpene72-79 % Sesquiterpene20.8-27.5 % Humulene / Caryophyllene3-3. 15 % Linalool5-6 mg/100g Farnesene2.5-3.5 mg/100g"
Monroe,Germany,Aroma,Pellet,2.5,2,15,Boil,"A new hop variety from Barth-Haas group. Only 2.5% apha but a fairly high oil content. Mild and smooth, full of red aromas including raspberry notes and orange syrup."
Mosaic (HBC 369),U.S.,Both,Pellet,12.25,3.5,25,Boil,"Available in quantity for the first time after 2012 harvest. Still known to many as HBC 369. A daughter of Simcoe crossed with a Nugget derived male. An excellent aroma variety. Used for: Ales, IPA, Experimental Ales Aroma: Rich in mango, lemon, citrus, pine, and notably, blueberry. Substitutes: Unknown Storage: Good (25% AA after 6 months at 20 C) 11-13.5% AA / 3.2-3.9% Beta"
